Organism	Protein	COG	Cat	Annotation
1715	2497	COG0001	H	Glutamate-1-semialdehyde aminotransferase
1867	1963	COG0002	E	N-acetyl-gamma-glutamylphosphate reductase
649	1236	COG0003	P	Anion-transporting ATPase, ArsA/GET3 family
1728	2791	COG0004	P	Ammonia channel protein AmtB
1624	2051	COG0005	F	Purine nucleoside phosphorylase
2212	5182	COG0006	E	Xaa-Pro aminopeptidase
1634	2474	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)
2285	4603	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase
2243	3254	COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
1505	3089	COG0010	E	Arginase/agmatinase family enzyme
726	826	COG0011	H	Thiamin-binding stress-response protein YqgV, UPF0045 family
2264	2361	COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family
2268	2543	COG0013	J	Alanyl-tRNA synthetase
1721	1828	COG0014	E	Gamma-glutamyl phosphate reductase
2138	2588	COG0015	F	Adenylosuccinate lyase
2276	2314	COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit
1294	1504	COG0017	J	Aspartyl/asparaginyl-tRNA synthetase
2269	2435	COG0018	J	Arginyl-tRNA synthetase
2035	3495	COG0019	E	Diaminopimelate decarboxylase
2224	2665	COG0020	I	Undecaprenyl pyrophosphate synthase
782	828	COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)
2274	3227	COG0024	J	Methionine aminopeptidase
1335	2417	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter
1565	1600	COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
502	508	COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
1982	5801	COG0028	E H	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
1540	1705	COG0029	H	Aspartate oxidase
2252	2592	COG0030	J	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)
2072	4586	COG0031	E	Cysteine synthase
1671	1733	COG0035	F	Uracil phosphoribosyltransferase
1860	2408	COG0039	C	Malate/lactate dehydrogenase
1899	1933	COG0040	E	ATP phosphoribosyltransferase
2066	2107	COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
2086	3312	COG0042	J	tRNA-dihydrouridine synthase
1962	3544	COG0044	F	Dihydroorotase or related cyclic amidohydrolase
1750	1948	COG0045	C	Succinyl-CoA synthetase, beta subunit
2043	2059	COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
2049	2054	COG0047	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
2282	2148	COG0048	J	Ribosomal protein S12
2279	2268	COG0049	J	Ribosomal protein S7
2285	2031	COG0051	J	Ribosomal protein S10
2248	2247	COG0052	J	Ribosomal protein S2
1859	2801	COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump
1934	2062	COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)
2241	3635	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
1880	1948	COG0059	E H	Ketol-acid reductoisomerase
2258	2313	COG0060	J	Isoleucyl-tRNA synthetase
2178	2516	COG0061	H	NAD kinase
1825	1856	COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase (NAXE) domain
1999	2107	COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain
1885	1930	COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
1890	2368	COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit
1897	2357	COG0066	E	3-isopropylmalate dehydratase small subunit
1679	1921	COG0067	E	Glutamate synthase domain 1
1796	2827	COG0069	E	Glutamate synthase domain 2
1682	1948	COG0070	E	Glutamate synthase domain 3
1880	4378	COG0071	O	Small heat shock protein IbpA, HSP20 family
2254	2264	COG0072	J	Phenylalanyl-tRNA synthetase beta subunit
2258	4229	COG0073	J	tRNA-binding EMAP/Myf domain
1797	2098	COG0074	C	Succinyl-CoA synthetase, alpha subunit
1305	1976	COG0075	E F	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
1944	2041	COG0077	E	Prephenate dehydratase (decarboxylase)
2051	2401	COG0078	E	Ornithine carbamoyltransferase
2028	4212	COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
2279	2281	COG0080	J	Ribosomal protein L11
2267	2265	COG0081	J	Ribosomal protein L1
2070	2095	COG0082	E	Chorismate synthase
1099	1111	COG0083	E	Homoserine kinase
2257	2415	COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit
2251	2527	COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
2270	2265	COG0087	J	Ribosomal protein L3
2280	2270	COG0088	J	Ribosomal protein L4
2273	2259	COG0089	J	Ribosomal protein L23
2277	2274	COG0090	J	Ribosomal protein L2
2257	2230	COG0091	J	Ribosomal protein L22
2258	2236	COG0092	J	Ribosomal protein S3
2245	2186	COG0093	J	Ribosomal protein L14
2284	2276	COG0094	J	Ribosomal protein L5
2285	2276	COG0096	J	Ribosomal protein S8
2283	2279	COG0097	J	Ribosomal protein L6P/L9E
2262	2248	COG0098	J	Ribosomal protein S5
2271	2282	COG0099	J	Ribosomal protein S13
2247	2194	COG0100	J	Ribosomal protein S11
2162	2379	COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA
2271	2262	COG0102	J	Ribosomal protein L13
2275	2262	COG0103	J	Ribosomal protein S9
2118	2217	COG0104	F	Adenylosuccinate synthase
1998	2042	COG0105	F	Nucleoside diphosphate kinase
1906	1954	COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
1921	2097	COG0107	E	Imidazole glycerol phosphate synthase subunit HisF
1915	2165	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase
1464	1584	COG0109	H I	Polyprenyltransferase (heme O synthase)
1672	4275	COG0110	R	O-acetyltransferase, isoleucine patch superfamily, LacA/YvoF/WbbJ family
2036	5766	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase
2204	2581	COG0112	E	Glycine/serine hydroxymethyltransferase
1869	1915	COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase
1497	1559	COG0114	C	Fumarate hydratase class II
2080	4994	COG0115	E H	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
1903	2037	COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
1983	5327	COG0119	E	Isopropylmalate/homocitrate/citramalate synthases
1177	1222	COG0120	G	Ribose 5-phosphate isomerase
1330	1838	COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
1380	2224	COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase
2264	2449	COG0124	J	Histidyl-tRNA synthetase
2042	2401	COG0125	F	Thymidylate kinase
2232	2301	COG0126	G	3-phosphoglycerate kinase
2181	2291	COG0127	F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family
2084	2173	COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase
1889	3509	COG0129	G E	Dihydroxyacid dehydratase/phosphogluconate dehydratase
2212	2238	COG0130	J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA
1897	1904	COG0131	E	Imidazoleglycerol phosphate dehydratase HisB
1895	2143	COG0133	E	Tryptophan synthase beta chain
1881	1960	COG0134	E	Indole-3-glycerol phosphate synthase
1708	1843	COG0135	E	Phosphoribosylanthranilate isomerase
2124	2392	COG0136	E	Aspartate-semialdehyde dehydrogenase
1934	1975	COG0137	E	Argininosuccinate synthase
2025	2177	COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH
1898	1954	COG0139	E	Phosphoribosyl-AMP cyclohydrolase
1744	1780	COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase
1890	2158	COG0141	E	Histidinol dehydrogenase
2196	4706	COG0142	H	Geranylgeranyl pyrophosphate synthase
2231	2389	COG0143	J	Methionyl-tRNA synthetase
1989	3035	COG0144	J	RNA cytosine C5-methylase, RsmB/RsmF/Trm4/Trm9 family, includes 16S rRNA C967/C1407 and tRNA-C34/C48 C5-methylases
952	1919	COG0145	E Q	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
763	1412	COG0146	E Q	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit
1952	3587	COG0147	E H	Anthranilate/para-aminobenzoate synthases component I
2218	2411	COG0148	G	Enolase
2243	2490	COG0149	G	Triosephosphate isomerase
2058	2067	COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase
2053	2142	COG0151	F	Phosphoribosylamine-glycine ligase
2070	2177	COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase
2039	5764	COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
1329	1885	COG0155	P	Sulfite reductase, beta subunit (hemoprotein)
1716	1876	COG0157	H	Nicotinate-nucleotide pyrophosphorylase
889	973	COG0158	G	Fructose-1,6-bisphosphatase
1893	1962	COG0159	E	Tryptophan synthase alpha chain
2272	2360	COG0162	J	Tyrosyl-tRNA synthetase
2155	2181	COG0164	L	Ribonuclease HII
1946	2131	COG0165	E	Argininosuccinate lyase
2134	2326	COG0166	G	Glucose-6-phosphate isomerase
2150	2936	COG0167	F	Dihydroorotate dehydrogenase
1651	2602	COG0168	P	Trk-type K+ transport system, membrane component
2090	2688	COG0169	E	Shikimate 5-dehydrogenase
389	466	COG0170	M O	Dolichol kinase
2154	2424	COG0171	H	NH3-dependent NAD+ synthetase
2280	2389	COG0172	J	Seryl-tRNA synthetase
1950	3906	COG0174	E	Glutamine synthetase
1567	3112	COG0175	E H	Phosphoadenylyl sulfate (PAPS) reductase/FAD synthetase or related enzyme
2159	2597	COG0177	L	Endonuclease III
2142	3266	COG0178	L	Excinuclease UvrABC ATPase subunit
1726	4518	COG0179	C E	Oxaloacetate decarboxylase and tautomerase, fumarylacetoacetate (FAA) hydrolase family
2274	2482	COG0180	J	Tryptophanyl-tRNA synthetase
1881	1920	COG0181	H	Porphobilinogen deaminase
1716	8019	COG0183	I	Acetyl-CoA acetyltransferase
2275	2270	COG0184	J	Ribosomal protein S15P/S13E
2258	2206	COG0185	J	Ribosomal protein S19
2263	2252	COG0186	J	Ribosomal protein S17
2198	3735	COG0187	L	DNA gyrase/topoisomerase IV, subunit B
2195	3776	COG0188	L	DNA gyrase/topoisomerase IV, subunit A
1653	3725	COG0189	J E H Q	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily
2156	2367	COG0190	H	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
1708	2543	COG0191	G	Fructose/tagatose bisphosphate aldolase
2251	2325	COG0195	K	Transcription antitermination factor NusA, contains S1 and KH domains
2272	2251	COG0197	J	Ribosomal protein L16/L10AE
2254	2252	COG0198	J	Ribosomal protein L24
2261	2402	COG0199	J	Ribosomal protein S14
2263	2262	COG0200	J	Ribosomal protein L15
