# gene name              KO     thrshld  score   E-value KO definition
#----------------------- ------ ------- ------ --------- ---------------------
  tr|J7RFT8|J7RFT8_HALWD -            -      -         - -
  tr|Q18E01|Q18E01_HALWD -            -      -         - -
  tr|Q18EI8|Q18EI8_HALWD K26642 1145.60   13.8   9.8e-06 Fusariviridae RNA-directed RNA polymerase
  tr|Q18EI8|Q18EI8_HALWD K24846  552.57    8.4   0.00084 ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]
  tr|Q18EI8|Q18EI8_HALWD K12952  577.03    5.5    0.0045 cation-transporting P-type ATPase E [EC:7.2.2.-]
  tr|Q18EI8|Q18EI8_HALWD K11622   74.80    0.8      0.35 lia operon protein LiaF
  tr|Q18F64|Q18F64_HALWD K10650  762.97   10.2   0.00027 tripartite motif-containing protein 11 [EC:2.3.2.27]
  tr|Q18F66|Q18F66_HALWD -            -      -         - -
  tr|Q18F80|Q18F80_HALWD K19664  133.47   11.0   0.00041 CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]
  tr|Q18FA8|Q18FA8_HALWD K19907  440.13   16.4   4.4e-06 synaptotagmin-7
  tr|Q18FA8|Q18FA8_HALWD K27816  434.93   11.6   0.00014 fibrinogen C domain-containing protein 1
  tr|Q18FD4|Q18FD4_HALWD K01023  125.63   72.1   4.9e-23 arylsulfate sulfotransferase [EC:2.8.2.22]
  tr|Q18FD7|Q18FD7_HALWD K10862  158.77   11.5   0.00011 tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]
  tr|Q18FM1|Q18FM1_HALWD K17318  172.97   11.9   0.00013 putative aldouronate transport system substrate-binding protein
  tr|Q18FM1|Q18FM1_HALWD K14953   54.53    8.9    0.0018 ipoprotein LpqH
  tr|Q18FW5|Q18FW5_HALWD -            -      -         - -
  tr|Q18GD8|Q18GD8_HALWD K07243   47.07   10.6    0.0002 high-affinity iron transporter
  tr|Q18GD8|Q18GD8_HALWD K06497  245.40    7.6    0.0033 CD63 antigen
  tr|Q18GI1|Q18GI1_HALWD K13655   58.83   11.4   0.00026 HTH-type transcriptional regulator / antitoxin MqsA
  tr|Q18GI9|Q18GI9_HALWD -            -      -         - -
  tr|Q18H44|Q18H44_HALWD K08151  352.57   11.8   9.3e-05 MFS transporter, DHA1 family, tetracycline resistance protein
  tr|Q18H89|Q18H89_HALWD K14340  128.97   20.7   2.2e-07 mannosyltransferase [EC:2.4.1.-]
  tr|Q18H89|Q18H89_HALWD K00728  212.03   16.5   2.6e-06 dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
  tr|Q18H89|Q18H89_HALWD K21306  299.70    4.0     0.015 dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]
  tr|Q18HM5|Q18HM5_HALWD K28349  194.33   19.8   5.1e-07 cell division protein A
  tr|Q18HZ6|Q18HZ6_HALWD K12460  448.00    5.2    0.0032 ankyrin repeat-rich membrane spanning protein
  tr|Q18IF7|Q18IF7_HALWD K07153   75.30   11.7   0.00017 high frequency lysogenization protein
  tr|Q18IF9|Q18IF9_HALWD -            -      -         - -
  tr|Q18IK6|Q18IK6_HALWD K21020  235.97   11.3    0.0002 diguanylate cyclase [EC:2.7.7.65]
  tr|Q18IK6|Q18IK6_HALWD K05038  924.00   10.3   0.00017 solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9
  tr|Q18IK6|Q18IK6_HALWD K16258   99.70    8.4    0.0024 mxaK protein
